§Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]
512	0.04512	512	0.03933	512	0.04348	512	0.04563
537.6	0.03958	537.6	0.03412	537.6	0.03759	537.6	0.0398
563.2	0.03459	563.2	0.02958	563.2	0.03247	563.2	0.03467
588.8	0.03017	588.8	0.02572	588.8	0.02807	588.8	0.03021
614.4	0.02643	614.4	0.02235	614.4	0.02446	614.4	0.0263
640	0.02326	640	0.01954	640	0.02131	640	0.02292
665.6	0.02054	665.6	0.01721	665.6	0.0184	665.6	0.02006
691.2	0.01818	691.2	0.01533	691.2	0.01588	691.2	0.01762
716.8	0.01614	716.8	0.0138	716.8	0.01378	716.8	0.01558
742.4	0.01436	742.4	0.01258	742.4	0.01217	742.4	0.01377
768	0.01291	768	0.01153	768	0.0107	768	0.01222
793.6	0.01163	793.6	0.01051	793.6	0.009433	793.6	0.0109
819.2	0.01052	819.2	0.009505	819.2	0.008229	819.2	0.01009
870.4	0.008257	870.4	0.007696	870.4	0.006417	870.4	0.009048
921.6	0.006361	921.6	0.006336	921.6	0.005157	921.6	0.008275
972.8	0.004827	972.8	0.005422	972.8	0.004629	972.8	0.00749
1024	0.003939	1024	0.004867	1024	0.004536	1024	0.00697
1075	0.003381	1075	0.004597	1075	0.004565	1075	0.006635
1126	0.003182	1126	0.004447	1126	0.004538	1126	0.006575
1178	0.003178	1178	0.004285	1178	0.004473	1178	0.006413
1229	0.003401	1229	0.003925	1229	0.004324	1229	0.006096
1280	0.003831	1280	0.003651	1280	0.004033	1280	0.005411
1331	0.004322	1331	0.003627	1331	0.003628	1331	0.004777
1382	0.004868	1382	0.003835	1382	0.003243	1382	0.004501
1434	0.005293	1434	0.004074	1434	0.003053	1434	0.004744
1485	0.005579	1485	0.004188	1485	0.002959	1485	0.005318
1536	0.005565	1536	0.004182	1536	0.002957	1536	0.005729
1587	0.005325	1587	0.004102	1587	0.003273	1587	0.005914
1638	0.005132	1638	0.003898	1638	0.00364	1638	0.005705
1741	0.004758	1741	0.003507	1741	0.004141	1741	0.004858
1843	0.004171	1843	0.003155	1843	0.003722	1843	0.004083
1946	0.003058	1946	0.0028	1946	0.003196	1946	0.003771
2048	0.002143	2048	0.002455	2048	0.003016	2048	0.003833
2150	0.001591	2150	0.002063	2150	0.003281	2150	0.003864
2253	0.00169	2253	0.001656	2253	0.003492	2253	0.003659
2355	0.002129	2355	0.001556	2355	0.003616	2355	0.003079
2458	0.002704	2458	0.001845	2458	0.003691	2458	0.002558
2560	0.003387	2560	0.002522	2560	0.003443	2560	0.002129
2662	0.004025	2662	0.003095	2662	0.003174	2662	0.002321
2765	0.004469	2765	0.003411	2765	0.003501	2765	0.002497
